,Longitud,Latitud,slope,PP,valor_humedad_suelo1,n.100-200cm,theta_s.100-200cm,theta_r.100-200cm,ksat.100-200cm,alpha.100-200cm,SUBTIPO,SUBTIPO_DESC
1015,-71.7609178,-40.056381904,56.71067464686554,1.5259999986737969,0.3809814453125,0.0270000007003545,0.0320000015199184,0.0299999993294477,0.3149999976158142,0.2870000004768371,3.0,Deslizamiento
1016,-71.74737092,-40.058821037,56.71067464686554,1.5259999986737969,0.3809814453125,0.0289999991655349,0.0370000004768371,0.032999999821186,0.3400000035762787,0.3160000145435333,3.0,Deslizamiento
1017,-71.747910077,-40.0681494419999,64.45070223239443,0.5092242935206741,0.383544921875,0.0280000008642673,0.0340000018477439,0.0309999994933605,0.3269999921321869,0.3019999861717224,3.0,Deslizamiento
1018,-71.7340095759999,-40.072369985,64.45070223239443,0.5092242935206741,0.383544921875,0.025000000372529,0.0280000008642673,0.0270000007003545,0.3000000119209289,0.2610000073909759,3.0,Deslizamiento
1019,-71.734803391,-40.08399846,64.45070223239443,0.5092242935206741,0.383544921875,0.0280000008642673,0.0350000001490116,0.0320000015199184,0.3289999961853027,0.3059999942779541,3.0,Deslizamiento
1020,-71.7407924779999,-40.083910854,64.45070223239443,0.5092242935206741,0.383544921875,0.0289999991655349,0.0370000004768371,0.032999999821186,0.3379999995231628,0.3149999976158142,3.0,Deslizamiento
1021,-71.77200726099991,-40.08557264,51.10247709745168,0.5092242935206741,0.383544921875,0.0280000008642673,0.0350000001490116,0.0320000015199184,0.3269999921321869,0.3039999902248382,3.0,Deslizamiento
1022,-71.790344229,-40.075124347,65.36199499296396,4.645297875162214,0.4008331298828125,0.0280000008642673,0.0359999984502792,0.032999999821186,0.3319999873638153,0.3070000112056732,3.0,Deslizamiento
1023,-71.794626513,-40.0737509379999,65.36199499296396,4.645297875162214,0.4008331298828125,0.0309999994933605,0.0430000014603138,0.0379999987781047,0.3939999938011169,0.3400000035762787,3.0,Deslizamiento
1024,-71.7380074229999,-39.951073074,69.39381661861529,1.5721815014258034,0.38531494140625,0.0309999994933605,0.0460000000894069,0.0410000011324882,0.4300000071525574,0.3549999892711639,3.0,Deslizamiento
1025,-71.73881019899991,-39.952711581,69.39381661861529,1.5721815014258034,0.38531494140625,0.0320000015199184,0.0489999987185001,0.0430000014603138,0.4690000116825104,0.3709999918937683,3.0,Deslizamiento
1026,-71.722015488,-39.951850694,69.4726223327861,1.5721815014258034,0.38531494140625,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3100000023841858,0.277999997138977,5.0,Flujo
1027,-71.723151318,-39.9787086539999,63.232953840829246,1.5259999986737969,0.3809814453125,0.0280000008642673,0.0350000001490116,0.0320000015199184,0.3300000131130218,0.3059999942779541,3.0,Deslizamiento
1028,-71.703758568,-39.951327976,69.4726223327861,1.5721815014258034,0.38531494140625,0.0289999991655349,0.0370000004768371,0.0340000018477439,0.3409999907016754,0.31700000166893,3.0,Deslizamiento
